,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
298,서울특별시 서대문구 영천동,3014,0,0,0,0,0.0
299,서울특별시 서대문구 현저동,5086,0,0,0,0,0.0
300,서울특별시 서대문구 북아현동,27695,2,0,102,0,0.0
301,서울특별시 서대문구 홍제동,55843,1,0,94,6,0.06382978723404255
302,서울특별시 서대문구 대현동,6640,0,0,0,0,0.0
303,서울특별시 서대문구 대신동,1589,0,0,0,5,0.0
304,서울특별시 서대문구 신촌동,846,1,0,37,0,0.0
305,서울특별시 서대문구 봉원동,373,0,0,0,0,0.0
306,서울특별시 서대문구 창천동,10961,0,0,0,0,0.0
307,서울특별시 서대문구 연희동,34320,2,0,133,5,0.03759398496240601
308,서울특별시 서대문구 홍은동,51165,3,0,118,1,0.00847457627118644
309,서울특별시 서대문구 북가좌동,48565,0,0,136,6,0.04411764705882353
310,서울특별시 서대문구 남가좌동,45963,4,0,105,8,0.0761904761904762
311,서울특별시 마포구 아현동,27807,0,0,0,18,0.0
312,서울특별시 마포구 공덕동,25288,0,0,208,5,0.02403846153846154
313,서울특별시 마포구 신공덕동,12424,0,0,0,6,0.0
314,서울특별시 마포구 도화동,21423,1,0,52,2,0.038461538461538464
315,서울특별시 마포구 용강동,7416,0,0,79,4,0.05063291139240506
316,서울특별시 마포구 토정동,1279,0,0,0,0,0.0
317,서울특별시 마포구 마포동,2620,0,0,0,3,0.0
318,서울특별시 마포구 대흥동,16473,2,0,29,1,0.034482758620689655
319,서울특별시 마포구 염리동,17976,0,0,91,15,0.16483516483516483
320,서울특별시 마포구 노고산동,5872,0,0,0,2,0.0
321,서울특별시 마포구 신수동,15414,1,0,54,0,0.0
322,서울특별시 마포구 현석동,5051,0,0,0,0,0.0
323,서울특별시 마포구 구수동,759,0,0,0,0,0.0
324,서울특별시 마포구 창전동,14749,0,0,0,1,0.0
325,서울특별시 마포구 상수동,7423,1,0,72,7,0.09722222222222222
326,서울특별시 마포구 하중동,1461,0,0,0,0,0.0
327,서울특별시 마포구 신정동,1535,0,0,0,24,0.0
328,서울특별시 마포구 당인동,1017,0,0,0,0,0.0
329,서울특별시 마포구 서교동,19561,3,0,81,4,0.04938271604938271
330,서울특별시 마포구 동교동,3595,0,0,0,0,0.0
331,서울특별시 마포구 합정동,16569,0,0,55,10,0.18181818181818182
332,서울특별시 마포구 망원동,37504,1,0,106,0,0.0
333,서울특별시 마포구 연남동,14455,2,0,40,1,0.025
334,서울특별시 마포구 성산동,47909,2,0,162,12,0.07407407407407407
335,서울특별시 마포구 중동,9731,0,0,0,0,0.0
336,서울특별시 마포구 상암동,29976,2,2,150,3,0.02
337,서울특별시 양천구 신정동,173388,2,0,486,0,0.0
338,서울특별시 양천구 목동,145972,4,0,351,17,0.04843304843304843
339,서울특별시 양천구 신월동,119488,6,0,336,13,0.03869047619047619
340,서울특별시 강서구 염창동,41287,0,3,112,0,0.0
341,서울특별시 강서구 등촌동,73996,0,0,178,5,0.028089887640449437
342,서울특별시 강서구 화곡동,219202,10,0,399,2,0.005012531328320802
343,서울특별시 강서구 가양동,43944,0,0,69,2,0.028985507246376812
344,서울특별시 강서구 마곡동,54629,1,1,638,2,0.003134796238244514
345,서울특별시 강서구 내발산동,44728,1,0,205,6,0.02926829268292683
346,서울특별시 강서구 외발산동,948,0,4,0,0,0.0
347,서울특별시 강서구 공항동,17754,0,5,0,0,0.0
348,서울특별시 강서구 방화동,69691,1,0,47,9,0.19148936170212766
349,서울특별시 강서구 개화동,1684,0,0,130,0,0.0
